model,_micro_f1,_micro_k,MAP,MRR,R-Precision,n_queries,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
F-B3: Boost Prec+Ratio ×5  n=9  scheme=log,44.9569,8,58.8641,78.7717,54.3046,234,51.8803,51.4258,42.9787,68.0924,60.0425,41.8332,49.1453,55.7355,43.6326,68.3793,59.603,43.9911,45.9707,58.7125,43.1427,68.2196,58.9003,44.6619,43.2158,61.3625,42.575,68.0823,58.1751,44.8572,40.8357,63.616,41.9251,67.944,57.6248,44.7683,38.3761,65.5243,40.9264,67.8575,57.0976,44.052,36.4413,66.8454,40.0085,67.947,56.9368,43.5065,29.5442,70.5327,35.7306,68.2921,56.7028,39.4897,24.4444,74.732,31.9567,69.5249,57.363,35.5998
F-B8: Boost Arg+Prec+Ratio ×2  n=6  scheme=augmented,44.9014,8,59.8112,79.2305,55.1743,234,51.5385,50.7107,42.5247,68.4386,60.7187,41.5575,48.7179,55.6352,43.2648,68.808,60.3386,43.6085,46.0317,59.0684,43.3144,68.9435,59.7667,44.7212,43.1624,61.9579,42.6788,68.7963,59.0468,44.8018,40.4558,63.7265,41.6595,68.3888,58.2013,44.3519,38.5043,65.5924,41.0071,68.5329,58.022,44.1992,36.3636,66.9905,40.0127,68.5397,57.8177,43.4137,29.4872,70.8032,35.7312,68.8936,57.5425,39.4136,24.2735,74.0459,31.8072,69.8696,58.0699,35.3509
E: Fact+Arg+Prec+Ratio  n=9  scheme=binary,44.8458,8,57.7282,77.7231,53.6504,234,51.3675,50.076,42.1761,67.199,59.2343,41.4197,48.5755,54.451,42.8778,67.427,58.7657,43.481,45.7265,58.0686,42.8629,67.5243,58.137,44.4247,43.109,61.0293,42.4528,67.4961,57.5375,44.7463,40.3609,62.8591,41.4724,67.0733,56.682,44.2478,37.6923,63.8242,40.0655,66.6645,55.9462,43.2671,35.5866,65.1654,39.0784,66.6598,55.6471,42.4861,29.1738,69.1596,35.1997,67.195,55.5393,38.9947,23.9957,72.7922,31.363,68.2311,56.0766,34.9463
E: Fact+Arg+Prec+Ratio  n=10  scheme=augmented,44.8458,8,57.798,77.4915,53.171,234,51.2821,50.0246,42.1114,67.0448,59.1013,41.3508,48.6467,54.7027,43.0053,67.4208,58.7829,43.5448,45.7265,58.194,42.9216,67.4507,58.0236,44.4247,43.109,61.1258,42.4808,67.4237,57.4704,44.7463,40.5508,63.078,41.648,67.1264,56.7578,44.456,37.906,64.4794,40.3263,66.8296,56.0283,43.5124,35.7032,65.5698,39.1868,66.7162,55.6671,42.6252,29.3162,69.3881,35.3725,67.2505,55.5668,39.1851,24.1239,73.4188,31.5358,68.376,56.1396,35.133
F-B8: Boost Arg+Prec+Ratio ×2  n=5  scheme=augmented,44.8458,8,60.0007,79.366,55.474,234,52.0513,51.4129,42.9746,68.9896,61.3167,41.9711,49.0741,56.2918,43.7034,69.2859,60.7671,43.9273,45.8486,58.9537,43.1825,68.9729,59.9219,44.5433,43.109,61.7976,42.61,68.8689,59.1712,44.7463,40.4084,63.747,41.6435,68.4994,58.3466,44.2998,38.5897,65.6781,41.0984,68.711,58.2705,44.2973,36.3636,66.97,40.003,68.666,57.98,43.4137,29.4872,70.802,35.738,69.0141,57.7237,39.4136,24.2949,74.0616,31.8164,70.0039,58.2684,35.382
F-B8: Boost Arg+Prec+Ratio ×2  n=8  scheme=augmented,44.8458,8,59.2283,78.8125,54.6769,234,51.5385,50.8709,42.5746,68.1096,60.2111,41.5575,48.3618,54.6965,42.8663,68.0286,59.5052,43.2898,45.7265,58.8267,43.0313,68.3682,59.0326,44.4247,43.109,61.8408,42.6107,68.3629,58.4445,44.7463,40.4558,63.7012,41.6682,68.006,57.6759,44.3519,38.4615,65.4194,40.9455,68.092,57.4731,44.1501,36.2082,66.5592,39.8082,67.9819,57.1604,43.2282,29.4872,70.7703,35.7179,68.5153,56.9916,39.4136,24.1667,73.7428,31.657,69.3619,57.436,35.1953
F-B3: Boost Prec+Ratio ×5  n=10  scheme=log,44.8143,7,58.9235,78.6462,54.2971,234,51.8803,51.5766,43.0486,68.1498,60.1227,41.8332,49.2877,56.0127,43.7923,68.5582,59.8096,44.1186,46.0317,58.9246,43.2331,68.3448,59.0644,44.7212,43.0556,61.1526,42.4172,67.9962,58.1454,44.6909,40.6933,63.4331,41.7763,67.8721,57.605,44.6122,38.2479,64.8659,40.7076,67.6742,57.1039,43.9048,36.4413,66.8454,40.0085,67.9742,57.0118,43.5065,29.4872,70.4687,35.671,68.2787,56.7486,39.4136,24.4658,74.7362,31.9723,69.5566,57.4355,35.6309
F-B3: Boost Prec+Ratio ×5  n=5  scheme=augmented,44.7902,8,59.6922,79.337,55.4304,234,51.8803,50.9269,42.7524,68.6988,61.0768,41.8332,48.7179,55.8328,43.3379,68.905,60.4113,43.6085,45.7265,58.4959,42.9112,68.7091,59.6932,44.4247,43.0556,61.6323,42.5321,68.683,58.9626,44.6909,40.3134,63.5059,41.496,68.2838,58.1252,44.1957,38.4188,65.4118,40.8871,68.4542,57.9598,44.1011,36.0528,66.4777,39.6233,68.2871,57.5467,43.0427,29.3447,70.4706,35.5464,68.7179,57.3558,39.2232,24.2521,73.9148,31.7229,69.7786,57.9794,35.3197
F-B3: Boost Prec+Ratio ×5  n=6  scheme=augmented,44.7346,8,59.243,78.8867,54.6891,234,51.7094,50.7774,42.6199,68.3071,60.5637,41.6954,48.5755,55.6413,43.1625,68.528,59.9263,43.481,45.6044,58.4879,42.8497,68.3726,59.1383,44.306,43.0021,61.4795,42.4381,68.3505,58.5786,44.6354,40.2184,63.3765,41.39,67.9431,57.6808,44.0916,38.2051,65.1116,40.6539,68.0172,57.4527,43.8558,36.014,66.3254,39.5753,67.9512,57.156,42.9963,29.2877,70.2689,35.4549,68.3629,56.9186,39.147,24.1667,73.8104,31.6425,69.4252,57.5079,35.1953
F-B3: Boost Prec+Ratio ×5  n=7  scheme=augmented,44.7346,8,58.4648,78.0304,53.6617,234,51.1966,50.5267,42.2324,67.522,59.4979,41.2819,48.2906,54.8197,42.7662,67.673,58.9938,43.226,45.2991,57.9052,42.5557,67.5509,58.1984,44.0095,43.0021,61.6049,42.4299,67.8637,57.8636,44.6354,40.2184,63.2499,41.3524,67.3737,56.9446,44.0916,38.1197,64.9712,40.5651,67.4052,56.6945,43.7577,35.8974,66.1698,39.451,67.324,56.3967,42.8571,29.1168,69.9942,35.2514,67.6745,56.0789,38.9185,24.1239,73.7316,31.5897,68.8304,56.723,35.133
F-B8: Boost Arg+Prec+Ratio ×2  n=4  scheme=augmented,44.7346,8,59.6384,78.7434,54.9876,234,52.4786,52.0183,43.475,69.0476,61.2861,42.3156,49.0028,56.2217,43.6431,68.9699,60.3851,43.8636,45.6044,58.7106,42.9338,68.5472,59.4372,44.306,43.0021,61.4804,42.531,68.4579,58.7892,44.6354,40.4558,63.3733,41.631,68.1418,58.0317,44.3519,38.3761,65.0454,40.8229,68.1754,57.7868,44.052,36.2471,66.3193,39.7962,68.1577,57.4744,43.2746,29.6866,71.3853,36.0226,68.9327,57.4651,39.6801,24.2735,74.2801,31.8207,69.7439,57.9154,35.3509
F-B8: Boost Arg+Prec+Ratio ×2  n=6  scheme=binary,44.7346,8,59.4599,79.2108,55.0025,234,51.1966,50.4115,42.2262,68.1326,60.4342,41.2819,48.5043,54.8337,43.0282,68.3961,60.0385,43.4173,45.7265,58.379,42.9846,68.5203,59.4142,44.4247,43.0021,61.4561,42.4961,68.4848,58.7514,44.6354,40.3134,63.5769,41.5221,68.1685,57.9409,44.1957,38.2479,65.2463,40.7413,68.2003,57.682,43.9048,36.2859,67.2736,39.9659,68.4404,57.5844,43.321,29.2877,70.4627,35.4838,68.5898,57.1981,39.147,24.1026,73.4973,31.562,69.5034,57.7207,35.1019
B4: Boost Ratio ×3,44.6791,8,59.898,79.399,56.8758,234,52.4786,52.0021,43.4599,69.3443,61.6136,42.3156,49.2877,55.8314,43.7524,69.3217,61.021,44.1186,45.6044,58.6721,42.9726,68.879,59.9095,44.306,42.9487,61.1705,42.4281,68.7176,59.1818,44.58,40.6458,63.5445,41.8977,68.6069,58.5803,44.5601,38.2906,65.4866,40.8753,68.6092,58.2224,43.9539,36.0917,66.7122,39.7383,68.5531,57.8537,43.0891,29.7721,71.7203,36.0389,69.4569,57.9501,39.7944,24.0812,74.7721,31.622,70.149,58.1946,35.0708
E: Fact+Arg+Prec+Ratio  n=10  scheme=binary,44.6791,8,57.4411,77.4959,53.2436,234,51.3675,50.0997,42.1927,67.0384,59.0518,41.4197,48.5755,54.5935,42.9134,67.3141,58.5769,43.481,45.5433,57.9613,42.7325,67.2494,57.8042,44.2467,42.9487,60.91,42.3175,67.2306,57.252,44.58,40.0285,62.5606,41.1811,66.6769,56.2058,43.8834,37.7778,63.8954,40.1424,66.5429,55.7438,43.3652,35.5478,64.9968,38.9893,66.4263,55.3831,42.4397,29.0598,69.0672,35.0982,66.9453,55.1936,38.8423,23.9957,72.7862,31.3613,68.045,55.8038,34.9463
F-B3: Boost Prec+Ratio ×5  n=4  scheme=augmented,44.6791,8,59.7281,79.0166,55.4265,234,52.3932,51.496,43.2867,69.0051,61.3719,42.2467,48.9316,56.0793,43.5481,69.0283,60.4498,43.7998,45.8486,59.0184,43.1957,68.8615,59.7682,44.5433,42.9487,61.4295,42.4781,68.5585,58.9199,44.58,40.3609,63.3277,41.5432,68.2245,58.1331,44.2478,38.1197,64.7971,40.577,68.131,57.7481,43.7577,36.1694,66.2876,39.728,68.2485,57.5837,43.1818,29.6296,70.7513,35.895,68.8747,57.5373,39.604,24.2094,74.1472,31.7352,69.7834,57.9805,35.2575
F-B8: Boost Arg+Prec+Ratio ×2  n=8  scheme=binary,44.6791,8,58.7183,78.5523,54.1349,234,51.2821,50.5603,42.2996,67.7352,59.7921,41.3508,48.0769,54.3152,42.5798,67.6007,59.0056,43.0347,45.4823,57.8667,42.7075,67.7927,58.5422,44.1874,42.9487,61.33,42.431,67.9244,57.9506,44.58,40.4084,63.2155,41.5516,67.6286,57.2647,44.2998,38.2479,65.1755,40.7238,67.6971,57.0009,43.9048,36.0917,66.3787,39.6621,67.6462,56.7309,43.0891,29.3162,70.5203,35.5181,68.1287,56.5247,39.1851,24.0598,73.4285,31.5117,68.9668,56.966,35.0397
F-B8: Boost Arg+Prec+Ratio ×2  n=2  scheme=log,44.6235,8,59.0551,79.8522,55.528,234,51.6239,50.9985,42.5406,68.8893,61.0861,41.6265,48.2194,54.8116,42.6504,68.7066,60.1419,43.1623,45.4212,58.5054,42.8059,68.8429,59.7058,44.1281,42.8953,61.5209,42.4983,68.8379,58.9932,44.5245,39.8386,62.8266,41.1523,68.1314,57.9318,43.6752,37.6068,64.6248,40.241,68.1321,57.558,43.169,35.3535,66.0095,39.1082,68.0838,57.2045,42.2078,28.7464,70.2907,34.9793,68.6241,57.0252,38.4235,23.4188,73.1066,30.8324,69.3694,57.3339,34.1061
F-B8: Boost Arg+Prec+Ratio ×2  n=5  scheme=binary,44.6235,8,59.5194,79.0749,54.8074,234,51.6239,50.6195,42.4638,68.4545,60.8331,41.6265,48.7892,55.3692,43.3687,68.7201,60.2987,43.6723,45.5433,58.3359,42.8663,68.4776,59.3732,44.2467,42.8953,61.2234,42.3658,68.417,58.7003,44.5245,40.3609,63.6995,41.596,68.2506,58.0002,44.2478,38.3761,65.4385,40.887,68.3328,57.8087,44.052,36.3248,67.2627,39.9789,68.4902,57.6703,43.3673,29.3732,70.5672,35.5914,68.6818,57.3071,39.2612,24.0598,73.507,31.5248,69.5154,57.7543,35.0397
F-B8: Boost Arg+Prec+Ratio ×2  n=10  scheme=augmented,44.6235,8,58.7476,77.9828,54.4408,234,51.1966,50.3638,42.1912,67.4893,59.707,41.2819,48.0769,54.1596,42.5273,67.4126,58.9228,43.0347,45.7265,58.8895,43.0704,68.0255,58.6058,44.4247,42.8953,61.4586,42.3671,67.8306,57.846,44.5245,40.3134,63.5144,41.5245,67.5534,57.1659,44.1957,38.2906,65.218,40.7711,67.6331,56.9695,43.9539,35.8974,66.2304,39.4855,67.4285,56.5493,42.8571,29.4302,70.5126,35.6161,68.0791,56.5428,39.3374,24.1239,73.6316,31.5991,68.9647,56.9805,35.133
A3: Fact + Argument + Precedent + Ratio,44.5765,7,59.3394,79.5847,55.6865,234,51.8803,51.0196,42.7233,68.8768,61.2989,41.8332,48.8604,54.8729,43.1353,68.8785,60.5446,43.7361,45.7875,58.1528,42.8866,68.7861,59.7662,44.484,42.8419,60.6424,42.2249,68.4735,58.7953,44.4691,40.2184,62.443,41.2655,68.0936,57.9623,44.0916,38.1197,64.7954,40.5658,68.268,57.7122,43.7577,35.8197,66.3874,39.4076,68.2488,57.371,42.7644,29.4017,70.088,35.5222,68.7433,57.3053,39.2993,23.8462,73.2139,31.2659,69.4738,57.5801,34.7285
E: Fact+Arg+Prec+Ratio  n=4  scheme=log,44.5765,7,59.3394,79.5847,55.6865,234,51.8803,51.0196,42.7233,68.8768,61.2989,41.8332,48.8604,54.8729,43.1353,68.8785,60.5446,43.7361,45.7875,58.1528,42.8866,68.7861,59.7662,44.484,42.8419,60.6424,42.2249,68.4735,58.7953,44.4691,40.2184,62.443,41.2655,68.0936,57.9623,44.0916,38.1197,64.7954,40.5658,68.268,57.7122,43.7577,35.8197,66.3874,39.4076,68.2488,57.371,42.7644,29.4017,70.088,35.5222,68.7433,57.3053,39.2993,23.8462,73.2139,31.2659,69.4738,57.5801,34.7285
F-B3: Boost Prec+Ratio ×5  n=8  scheme=augmented,44.5679,8,58.2749,78.1263,53.3097,234,51.0256,50.3668,42.0698,67.3155,59.2778,41.144,48.0057,54.2728,42.4784,67.3136,58.5914,42.971,45.116,57.5173,42.3616,67.2815,57.8649,43.8316,42.8419,61.4592,42.3001,67.6567,57.5056,44.4691,40.1235,63.0131,41.2055,67.1868,56.6483,43.9875,38.2051,64.9822,40.628,67.3632,56.5737,43.8558,35.8974,66.1228,39.4468,67.2261,56.2039,42.8571,29.2308,70.1357,35.374,67.6908,56.0018,39.0708,24.0385,73.3072,31.4554,68.6084,56.4953,35.0086
F-B8: Boost Arg+Prec+Ratio ×2  n=3  scheme=augmented,44.5679,8,59.4543,79.2157,54.8778,234,52.5641,52.404,43.5371,69.2575,61.2997,42.3846,48.8604,56.1428,43.5031,68.9525,60.2791,43.7361,45.6044,59.0075,43.0471,68.6672,59.3282,44.306,42.8419,61.2896,42.3617,68.3975,58.6273,44.4691,40.4084,63.3264,41.5827,68.164,57.9664,44.2998,38.4188,65.3009,40.9124,68.3162,57.8018,44.1011,36.2471,66.5912,39.855,68.2827,57.468,43.2746,29.6011,70.957,35.8721,68.8758,57.3748,39.5659,24.1453,74.1671,31.6636,69.6966,57.7366,35.1642
F-B3: Boost Prec+Ratio ×5  n=3  scheme=augmented,44.5171,7,59.5347,79.3106,54.9958,234,52.8205,52.625,43.7579,69.5064,61.5222,42.5913,49.0028,56.2567,43.6278,69.1178,60.4963,43.8636,45.7265,59.0816,43.1281,68.828,59.5531,44.4247,42.735,61.1771,42.2901,68.3823,58.6064,44.3582,40.3609,63.3512,41.573,68.2245,58.0137,44.2478,38.2906,65.2732,40.8281,68.3303,57.8165,43.9539,36.3636,66.7835,39.9887,68.4593,57.6243,43.4137,29.5442,71.0328,35.8636,68.9445,57.3998,39.4897,24.0812,74.0627,31.5861,69.7206,57.7831,35.0708
F-B8: Boost Arg+Prec+Ratio ×2  n=4  scheme=binary,44.5124,8,59.3467,78.7736,54.7984,234,52.1368,51.4105,43.1307,68.6924,60.9849,42.04,48.7892,55.7546,43.4575,68.6829,60.1421,43.6723,45.5433,58.3512,42.8572,68.3661,59.259,44.2467,42.7885,61.1836,42.3082,68.2214,58.5168,44.4136,40.2184,63.0472,41.3665,67.8929,57.7373,44.0916,38.2479,64.926,40.7098,68.0145,57.5753,43.9048,36.2859,66.3961,39.8457,68.1245,57.3691,43.321,29.3162,70.4755,35.5283,68.4669,57.062,39.1851,24.1453,73.9214,31.6448,69.4988,57.6584,35.1642
F-B8: Boost Arg+Prec+Ratio ×2  n=3  scheme=binary,44.5082,9,58.9786,78.8784,54.4713,234,51.9658,51.27,42.9235,68.4996,60.6851,41.9021,48.3618,55.0791,43.0404,68.1939,59.6205,43.2898,45.2381,58.0885,42.5933,68.0304,58.8077,43.9502,42.735,61.5117,42.3086,68.1451,58.2335,44.3582,40.5033,63.8314,41.7323,68.083,57.7248,44.404,38.4188,65.6857,40.9496,68.1673,57.4899,44.1011,36.1694,66.8684,39.7962,68.0727,57.1272,43.1818,29.3162,70.2638,35.508,68.3272,56.862,39.1851,23.953,73.824,31.4342,69.2556,57.2594,34.8841
B5: Boost Precedent ×3,44.4568,8,58.5696,78.6053,53.5628,234,52.735,51.8378,43.464,68.7078,60.5677,42.5224,49.0028,55.1033,43.2527,68.2404,59.4912,43.8636,45.4212,57.9519,42.6477,67.7899,58.4315,44.1281,42.735,60.9049,42.217,67.7059,57.7224,44.3582,40.2184,63.1679,41.4112,67.4867,56.957,44.0916,38.3333,65.6363,40.8618,67.8089,56.885,44.0029,35.9751,66.7831,39.592,67.6685,56.4662,42.9499,29.4587,70.7924,35.6577,68.2175,56.4011,39.3755,24.0598,73.9293,31.546,69.0658,56.8165,35.0397
F-B3: Boost Prec+Ratio ×5  n=3  scheme=binary,44.4568,8,59.0587,79.1497,54.4362,234,51.7949,51.1418,42.781,68.4857,60.6929,41.7643,48.5043,55.1327,43.1183,68.3674,59.794,43.4173,45.2381,58.0661,42.5722,68.1154,58.8838,43.9502,42.735,61.3385,42.3206,68.1833,58.2809,44.3582,40.4084,63.4584,41.6254,68.0363,57.7323,44.2998,38.4615,65.7652,41.0031,68.2861,57.6101,44.1501,36.2082,66.8939,39.8492,68.1695,57.2165,43.2282,29.4017,70.5398,35.6436,68.5137,56.9811,39.2993,23.953,73.893,31.4491,69.3599,57.3596,34.8841
F-B3: Boost Prec+Ratio ×5  n=4  scheme=binary,44.4568,8,59.335,78.8058,54.9259,234,52.3077,51.4289,43.2155,68.8018,61.1011,42.1778,48.8604,55.6847,43.4567,68.7326,60.202,43.7361,45.3602,58.2222,42.706,68.2811,59.1507,44.0688,42.735,61.0846,42.2358,68.201,58.4943,44.3582,40.2659,63.2149,41.4426,67.9868,57.8193,44.1437,38.2051,64.9116,40.6758,68.0264,57.5879,43.8558,36.0917,66.165,39.6378,68.0173,57.2876,43.0891,29.3732,70.4668,35.5766,68.5037,57.1059,39.2612,24.0812,73.7007,31.5368,69.4246,57.608,35.0708
F-B3: Boost Prec+Ratio ×5  n=6  scheme=binary,44.4568,8,58.9471,78.6932,54.5566,234,51.453,50.6059,42.4061,68.1053,60.2939,41.4886,48.3618,54.7332,42.8572,68.1213,59.6536,43.2898,45.3602,57.5796,42.5616,67.9327,58.8094,44.0688,42.735,60.8218,42.1176,67.9717,58.2238,44.3582,40.0285,63.1557,41.1956,67.6933,57.3902,43.8834,38.0342,64.9827,40.5054,67.7935,57.1989,43.6596,35.8974,66.2192,39.45,67.7596,56.9482,42.8571,29.2023,70.1699,35.3503,68.1848,56.7024,39.0327,23.8462,72.8773,31.2157,68.9148,57.1149,34.7285
F-B3: Boost Prec+Ratio ×5  n=7  scheme=binary,44.4568,8,58.467,78.4012,53.6487,234,51.1966,50.6125,42.2739,67.7129,59.6966,41.2819,48.433,54.6464,42.8572,67.8643,59.344,43.3535,45.0549,57.485,42.32,67.5055,58.2543,43.7722,42.735,60.7817,42.0632,67.6923,57.8362,44.3582,40.076,63.1003,41.215,67.4169,56.9953,43.9355,37.8632,64.694,40.3135,67.361,56.6599,43.4633,35.7809,65.9523,39.3095,67.3504,56.4703,42.718,29.0598,69.8981,35.18,67.7573,56.1809,38.8423,23.8248,72.8061,31.1841,68.5815,56.6377,34.6974
F-B8: Boost Arg+Prec+Ratio ×2  n=9  scheme=augmented,44.4568,8,59.0637,78.4935,54.7684,234,51.3675,50.6576,42.3958,67.8881,60.0888,41.4197,48.2194,54.3926,42.6704,67.7965,59.3222,43.1623,45.5433,58.6917,42.8766,68.155,58.7933,44.2467,42.735,61.5203,42.2789,68.0127,58.0487,44.3582,40.4084,63.6754,41.6376,67.8693,57.5096,44.2998,38.2906,65.2678,40.7892,67.8801,57.2573,43.9539,36.0917,66.3574,39.6594,67.7759,56.9401,43.0891,29.4302,70.5846,35.6357,68.3359,56.8142,39.3374,24.1667,73.739,31.6561,69.2537,57.2989,35.1953
F-B8: Boost Arg+Prec+Ratio ×2  n=10  scheme=binary,44.4568,8,58.2796,77.9651,53.8955,234,50.8547,50.0443,41.8827,67.1226,59.2247,41.0062,47.792,53.8923,42.2636,67.0818,58.4714,42.7797,45.3602,57.8108,42.6334,67.427,58.0597,44.0688,42.735,61.0555,42.2002,67.4868,57.438,44.3582,40.1709,62.8995,41.3269,67.153,56.697,44.0396,38.1624,65.3596,40.6555,67.4202,56.5441,43.8067,35.7809,66.3367,39.3732,67.2181,56.1312,42.718,29.2593,70.2471,35.412,67.753,56.0889,39.1089,23.9744,73.2726,31.4047,68.6057,56.5003,34.9152
F-B3: Boost Prec+Ratio ×5  n=5  scheme=binary,44.4012,8,59.2918,79.0785,54.7174,234,51.5385,50.6812,42.4682,68.3841,60.7216,41.5575,48.433,54.9092,42.9911,68.4001,60.0077,43.3535,45.2991,57.8483,42.5187,68.2043,59.1573,44.0095,42.6816,61.0901,42.1052,68.2168,58.487,44.3027,40.1235,63.3962,41.3328,68.0044,57.7423,43.9875,38.2906,65.3292,40.7814,68.2049,57.6336,43.9539,36.014,66.8235,39.6193,68.174,57.2822,42.9963,29.1453,70.0537,35.2871,68.3524,56.9529,38.9566,23.9744,73.148,31.373,69.2741,57.5023,34.9152
F-B3: Boost Prec+Ratio ×5  n=9  scheme=augmented,44.4012,8,58.053,78.0466,53.5731,234,50.7692,50.2093,41.8788,67.0924,59.0553,40.9373,47.792,54.143,42.2985,67.124,58.4217,42.7797,44.9328,57.3385,42.1854,67.0851,57.6106,43.6536,42.6816,61.1648,42.0947,67.4327,57.2752,44.3027,39.981,62.7694,41.0412,66.9755,56.4312,43.8313,37.9915,64.7337,40.4134,67.1197,56.2898,43.6105,35.6255,65.7096,39.1239,66.915,55.8566,42.5325,29.1168,69.8353,35.2123,67.4554,55.7458,38.9185,24.0598,73.2622,31.4494,68.495,56.3286,35.0397
F-B8: Boost Arg+Prec+Ratio ×2  n=9  scheme=binary,44.4012,8,58.5699,78.4722,54.2286,234,51.1966,50.3612,42.191,67.5971,59.7219,41.2819,47.8632,54.1304,42.3824,67.4177,58.8109,42.8435,45.2991,57.689,42.5318,67.623,58.3061,44.0095,42.6816,61.0685,42.1752,67.694,57.6395,44.3027,40.1709,62.9568,41.3417,67.3944,56.964,44.0396,38.1624,65.153,40.6724,67.5994,56.8255,43.8067,36.014,66.6961,39.6235,67.6344,56.5758,42.9963,29.2023,70.2163,35.3724,67.9452,56.3202,39.0327,23.9744,73.2004,31.3863,68.8128,56.7855,34.9152
A6: Argument + Precedent + Ratio,44.3715,7,55.946,77.4505,51.9774,232,52.2414,49.7771,42.6632,66.8819,58.8614,41.9377,48.4914,53.0604,42.4842,66.4011,57.7158,43.2277,45.7512,56.3976,42.5428,66.4507,57.1331,44.2789,42.403,58.6013,41.6007,65.8509,55.8647,43.8562,39.9425,60.3661,40.807,65.488,55.0291,43.6421,37.6293,61.8323,39.8135,65.322,54.5318,43.058,35.4624,63.735,38.8675,65.4107,54.2376,42.2108,29.0805,68.5618,35.2277,66.182,54.1594,38.7739,23.7069,71.6328,31.0659,66.9478,54.4806,34.4558
E: Fact+Arg+Prec+Ratio  n=2  scheme=augmented,44.1789,8,58.1664,79.4786,54.1684,234,51.5385,50.7937,42.588,68.2393,60.196,41.5575,47.9345,54.6852,42.6554,67.9363,59.1466,42.9072,45.2381,58.5024,42.6975,68.1818,58.7568,43.9502,42.4679,60.6409,41.9235,67.8856,57.9568,44.081,39.7911,62.7789,40.9679,67.5558,57.0791,43.6231,37.5214,64.1521,39.9517,67.4048,56.67,43.0709,35.5866,66.0131,39.2073,67.6033,56.4929,42.4861,28.7464,69.0676,34.8605,67.7216,56.0465,38.4235,23.5684,73.3076,30.9531,68.8384,56.4793,34.3239
F-B3: Boost Prec+Ratio ×5  n=2  scheme=augmented,44.1789,8,58.9325,79.6557,55.0025,234,51.453,51.3323,42.6012,68.7016,60.7762,41.4886,48.1481,55.3247,42.9034,68.5858,59.8771,43.0985,45.2381,58.5047,42.7382,68.5509,59.3235,43.9502,42.4679,61.3486,42.1688,68.4226,58.5927,44.081,39.9335,63.008,41.2107,68.0526,57.846,43.7793,38.0769,65.3341,40.7222,68.3338,57.6966,43.7086,35.9363,66.9858,39.6587,68.4016,57.4296,42.9035,29.0313,70.1169,35.2408,68.5549,56.9928,38.8043,23.3761,72.5441,30.7542,69.0516,57.1154,34.0439
F-B3: Boost Prec+Ratio ×5  n=8  scheme=binary,44.1789,8,58.1811,78.2116,53.3043,234,50.9402,50.3525,42.0134,67.3779,59.3323,41.0751,47.792,54.1975,42.3429,67.2907,58.6428,42.7797,44.9328,57.3645,42.2041,67.244,57.9031,43.6536,42.4679,60.5981,41.8543,67.3489,57.3126,44.081,39.886,62.385,40.9268,66.9881,56.5685,43.7272,37.9487,64.6524,40.3465,67.2219,56.4627,43.5614,35.8197,66.0159,39.3594,67.2145,56.1976,42.7644,29.0598,69.8648,35.1655,67.5856,55.9487,38.8423,23.8889,72.7781,31.2505,68.4354,56.4185,34.7907
F-B3: Boost Prec+Ratio ×5  n=9  scheme=binary,44.1789,8,58.0343,78.1783,53.3913,234,50.6838,50.2334,41.8527,67.1869,59.1309,40.8684,47.4359,53.7069,41.9528,66.9688,58.3259,42.4609,44.8718,57.321,42.1555,67.1566,57.7535,43.5943,42.4679,60.6262,41.8706,67.305,57.2388,44.081,39.8386,62.221,40.854,66.8726,56.4374,43.6752,37.735,64.3459,40.1189,66.9965,56.2015,43.3162,35.6643,65.7758,39.1712,67.0373,56.0079,42.5788,29.0313,69.6923,35.1239,67.4662,55.8308,38.8043,23.7393,72.4094,31.0395,68.2018,56.187,34.5729
F-B3: Boost Prec+Ratio ×5  n=10  scheme=augmented,44.1234,8,57.8875,77.8055,53.3158,234,50.6838,50.0531,41.7339,66.968,58.9734,40.8684,47.5783,53.8238,42.0708,66.8733,58.2089,42.5885,44.8107,57.293,42.11,66.9347,57.4745,43.535,42.4145,60.8793,41.8246,67.1725,57.0115,44.0255,39.886,62.6545,40.9518,66.8224,56.2871,43.7272,37.906,64.5683,40.2987,66.9618,56.117,43.5124,35.5089,65.5866,39.0049,66.7584,55.6882,42.3933,29.0883,69.7053,35.1582,67.3213,55.6273,38.8804,23.9103,72.9322,31.2707,68.2523,56.0782,34.8218
