model,_micro_f1,_micro_k,MAP,MRR,R-Precision,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
H-grid: TF-IDF-F Prec×5 Ratio×2 Fact×1 Arg×1,42.9008,8,55.4277,77.0299,51.1399,50.8547,48.9203,41.3974,65.9817,57.7163,41.0062,46.9373,52.1519,41.2234,65.3078,56.2628,42.0147,43.956,55.0373,41.0295,65.0736,55.4804,42.7046,41.2393,57.8609,40.505,64.9113,54.6323,42.8057,38.7464,60.0236,39.7497,64.6589,53.8955,42.4779,36.7094,62.5009,39.1149,64.8473,53.5824,42.1388,34.46,63.6446,37.9238,64.7323,53.1643,41.141,28.604,68.2372,34.5769,65.6318,53.3226,38.2331,23.2479,71.4796,30.4669,66.4038,53.6065,33.8572
H-grid: TF-IDF-F Prec×1 Ratio×1 Fact×0 Arg×1,42.8452,8,55.5319,77.5802,52.3664,50.5983,47.8507,41.1298,66.106,58.5991,40.7994,47.151,51.1923,41.1536,65.7231,57.4422,42.2059,43.7729,53.7345,40.5763,65.2241,56.3323,42.5267,41.1859,56.3791,40.2396,65.0341,55.4537,42.7502,38.699,59.0311,39.5448,64.8539,54.6157,42.4258,36.3675,60.5904,38.5916,64.6724,54.0722,41.7464,34.4211,61.8593,37.7007,64.6756,53.8068,41.0946,28.0912,67.0175,34.0049,65.458,53.589,37.5476,22.8419,69.9322,29.9615,66.1691,53.8524,33.2659
H-grid: TF-IDF-F Prec×1 Ratio×2 Fact×0 Arg×1,42.8452,8,55.9674,78.2835,52.6726,50.2564,48.1376,40.9847,66.3081,58.5729,40.5238,47.4359,52.115,41.621,66.3603,57.8473,42.4609,43.956,54.3667,40.8462,65.7876,56.7102,42.7046,41.1859,56.7261,40.2641,65.4558,55.7501,42.7502,38.7464,59.0701,39.5584,65.2371,54.9659,42.4779,36.453,61.0607,38.7261,65.2007,54.522,41.8445,34.4988,62.4534,37.8079,65.2542,54.2618,41.1874,28.0627,66.4147,33.9444,65.6865,53.9644,37.5095,22.9915,70.6181,30.217,66.8064,54.3757,33.4837
H-grid: TF-IDF-F Prec×2 Ratio×2 Fact×1 Arg×0,42.7863,9,55.1212,77.1878,51.4644,49.6581,48.0351,40.6027,65.2621,57.0332,40.0414,46.7236,52.406,41.1933,65.4127,56.3326,41.8234,43.4676,55.6913,40.7095,65.2177,55.4226,42.2301,40.7585,58.2677,40.1155,64.975,54.6004,42.3066,38.9364,60.9171,39.9423,65.1192,54.2879,42.6861,36.5812,62.1476,38.8555,64.8764,53.6903,41.9917,34.46,63.4502,37.7903,64.8435,53.387,41.141,28.0342,67.1465,33.9204,65.242,53.1085,37.4714,22.7991,70.2848,29.8758,65.9885,53.3561,33.2037
H-grid: TF-IDF-F Prec×1 Ratio×3 Fact×0 Arg×1,42.7341,8,55.4514,77.9163,51.8432,50.1709,48.1053,40.932,66.0018,58.1352,40.4549,46.8661,51.3775,41.0206,65.6499,57.0184,41.9509,43.7118,54.3261,40.6768,65.3778,56.0528,42.4674,41.0791,56.5582,40.1151,65.0885,55.2735,42.6393,38.3666,58.7605,39.2124,64.6959,54.257,42.0614,36.3248,60.4253,38.4919,64.6709,53.9141,41.6973,34.3434,62.2466,37.6159,64.8229,53.6627,41.0019,28.0627,66.2902,33.9048,65.3434,53.4684,37.5095,23.0128,70.4754,30.2152,66.4648,53.901,33.5149
H5: TF-IDF-F Arg×1 + Prec×2 + Ratio×2 (mirrors B8 boosting),42.6785,8,54.8779,77.6136,51.1694,50.1709,47.6374,40.8213,65.5095,57.5801,40.4549,46.7949,51.1433,40.9798,65.158,56.4913,41.8872,43.8339,54.0814,40.6485,64.9784,55.6582,42.586,41.0256,56.5924,40.1362,64.6396,54.6612,42.5839,38.7464,59.2228,39.6316,64.5567,53.919,42.4779,36.5385,60.8872,38.7581,64.4701,53.4851,41.9426,34.3823,62.1789,37.6948,64.3982,53.1667,41.0482,28.2336,67.3107,34.2,65.2553,53.0308,37.738,22.8846,70.1385,30.0425,65.9107,53.241,33.3281
H6: TF-IDF-F Arg×1 + Prec×3 + Ratio×3,42.6785,8,54.1265,77.1377,50.3999,49.7436,46.9323,40.3112,64.7658,56.7494,40.1103,46.1538,50.329,40.3155,64.2556,55.3926,41.3134,43.4676,53.6083,40.2507,64.2612,54.7276,42.2301,41.0256,56.6131,40.151,64.2013,53.998,42.5839,38.5565,58.358,39.3442,63.8044,53.1212,42.2697,36.2821,60.2438,38.4192,63.7312,52.6331,41.6483,34.3434,61.8484,37.6089,63.8286,52.4218,41.0019,28.0912,66.8887,33.9814,64.6115,52.2213,37.5476,22.7564,69.8338,29.8777,65.3015,52.4502,33.1414
H-grid: TF-IDF-F Prec×2 Ratio×2 Fact×0 Arg×1,42.6785,8,54.8779,77.6136,51.1694,50.1709,47.6374,40.8213,65.5095,57.5801,40.4549,46.7949,51.1433,40.9798,65.158,56.4913,41.8872,43.8339,54.0814,40.6485,64.9784,55.6582,42.586,41.0256,56.5924,40.1362,64.6396,54.6612,42.5839,38.7464,59.2228,39.6316,64.5567,53.919,42.4779,36.5385,60.8872,38.7581,64.4701,53.4851,41.9426,34.3823,62.1789,37.6948,64.3982,53.1667,41.0482,28.2336,67.3107,34.2,65.2553,53.0308,37.738,22.8846,70.1385,30.0425,65.9107,53.241,33.3281
H-grid: TF-IDF-F Prec×2 Ratio×3 Fact×0 Arg×1,42.6785,8,55.0139,77.3292,51.7397,50.0,47.8548,40.7714,65.5123,57.602,40.317,47.5071,51.9544,41.5484,65.7831,57.0837,42.5247,43.7729,54.123,40.6602,65.0252,55.7291,42.5267,41.0256,56.6006,40.1249,64.7355,54.8126,42.5839,38.699,59.0458,39.54,64.5733,54.0989,42.4258,36.2393,60.2848,38.3907,64.2682,53.459,41.5992,34.3823,62.1152,37.6661,64.4695,53.3011,41.0482,28.1197,66.5953,34.0323,65.12,53.1179,37.5857,22.9701,70.3615,30.1642,66.084,53.4546,33.4526
H-grid: TF-IDF-F Prec×3 Ratio×3 Fact×0 Arg×1,42.6785,8,54.1265,77.1377,50.3999,49.7436,46.9323,40.3112,64.7658,56.7494,40.1103,46.1538,50.329,40.3155,64.2556,55.3926,41.3134,43.4676,53.6083,40.2507,64.2612,54.7276,42.2301,41.0256,56.6131,40.151,64.2013,53.998,42.5839,38.5565,58.358,39.3442,63.8044,53.1212,42.2697,36.2821,60.2438,38.4192,63.7312,52.6331,41.6483,34.3434,61.8484,37.6089,63.8286,52.4218,41.0019,28.0912,66.8887,33.9814,64.6115,52.2213,37.5476,22.7564,69.8338,29.8777,65.3015,52.4502,33.1414
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=2  scheme=binary,42.6785,8,55.1355,78.1192,50.7763,50.9402,50.1302,42.0142,66.7256,58.2485,41.0751,47.2934,53.8974,42.1017,66.3441,57.0609,42.3334,43.8339,56.5292,41.3652,65.883,56.0691,42.586,41.0256,58.6962,40.5909,65.5369,55.2475,42.5839,38.1766,60.901,39.421,65.1294,54.1659,41.8532,36.0684,62.6151,38.6315,65.1007,53.7738,41.403,33.9549,63.5897,37.4564,64.9895,53.4192,40.538,27.5499,67.4981,33.4874,65.422,53.1177,36.8241,22.3932,70.0419,29.4497,66.038,53.303,32.6124
H-grid: TF-IDF-F Prec×2 Ratio×3 Fact×1 Arg×0,42.6152,7,55.4756,77.9536,52.1258,49.4017,48.2772,40.5834,65.4936,57.2453,39.8346,46.5812,52.8073,41.265,65.7458,56.5534,41.6959,43.7729,56.1598,41.0458,65.8127,56.0105,42.5267,40.9188,58.474,40.2533,65.4635,55.1011,42.473,38.6515,60.6379,39.6725,65.2726,54.4296,42.3738,36.5812,62.7304,39.0067,65.3862,54.0895,41.9917,34.4988,63.7236,37.869,65.2988,53.7979,41.1874,28.0342,67.5318,33.9064,65.6877,53.5318,37.4714,22.735,70.3061,29.7865,66.3223,53.747,33.1103
H-grid: TF-IDF-F Prec×1 Ratio×3 Fact×1 Arg×0,42.5674,8,55.5205,78.0899,52.209,49.9145,49.495,41.2814,66.0721,57.6151,40.2481,46.5812,52.7661,41.206,65.8007,56.6026,41.6959,43.3455,55.4536,40.6773,65.4755,55.7638,42.1115,40.9188,58.3398,40.2316,65.4652,55.1292,42.473,38.6515,60.3383,39.5894,65.2534,54.5044,42.3738,36.3675,61.9645,38.6333,65.1407,54.0147,41.7464,34.5377,64.3066,37.9667,65.4918,53.8903,41.2338,27.9487,67.1747,33.7476,65.5785,53.5166,37.3572,22.5855,69.894,29.5729,66.1455,53.6757,32.8925
H-grid: TF-IDF-F Prec×1 Ratio×2 Fact×1 Arg×0,42.5254,9,55.8049,78.3855,52.0527,50.2564,49.8102,41.562,66.5139,58.1132,40.5238,46.7236,52.9724,41.3242,66.1501,57.0425,41.8234,43.1624,55.6559,40.5597,65.6492,55.8781,41.9336,40.812,58.1204,40.0861,65.562,55.2822,42.3621,38.699,60.1426,39.5423,65.4156,54.7203,42.4258,36.6667,62.5914,38.9671,65.6276,54.4756,42.0898,34.5765,63.8051,37.9264,65.5921,54.216,41.2801,28.0342,67.4793,33.9063,65.9004,53.8148,37.4714,22.7991,70.1894,29.8646,66.5547,54.0633,33.2037
H-grid: TF-IDF-F Prec×3 Ratio×3 Fact×1 Arg×0,42.4562,8,55.0629,77.6654,51.206,49.7436,48.0784,40.682,65.423,57.16,40.1103,46.51,52.7106,41.1828,65.4701,56.217,41.6321,43.5897,56.0651,40.9083,65.4652,55.5736,42.3488,40.812,58.654,40.2445,65.22,54.7272,42.3621,38.5565,60.4735,39.574,64.9301,54.0561,42.2697,36.4103,62.1835,38.7346,64.9136,53.5976,41.7954,34.46,63.716,37.856,65.0018,53.3924,41.141,28.0342,67.4652,33.9142,65.4002,53.1452,37.4714,22.7778,70.5127,29.8657,66.1188,53.369,33.1726
H-grid: TF-IDF-F Prec×3 Ratio×2 Fact×0 Arg×1,42.4368,7,54.2078,77.1076,50.3608,49.8291,47.1671,40.3846,64.9433,56.9505,40.1792,46.5812,50.7591,40.6924,64.6149,55.8118,41.6959,43.5897,53.3242,40.309,64.2881,54.9737,42.3488,40.6517,55.6841,39.7042,63.8388,53.8779,42.1957,38.2716,57.7796,39.0688,63.5621,53.0113,41.9573,36.2821,60.5672,38.5043,63.8383,52.69,41.6483,34.2657,61.8708,37.5586,63.8255,52.447,40.9091,28.2336,67.141,34.136,64.7568,52.3946,37.738,22.8419,70.2333,30.0143,65.4544,52.5963,33.2659
H-grid: TF-IDF-F Prec×1 Ratio×1 Fact×1 Arg×0,42.4007,8,54.8548,77.2771,50.8851,49.3162,47.9538,40.3691,65.1124,56.9127,39.7657,45.5128,51.3836,40.1917,64.5801,55.4887,40.7396,42.9792,54.3635,40.0629,64.6001,54.8825,41.7556,40.7585,57.8124,40.0337,64.8011,54.4264,42.3066,38.4141,59.8906,39.3909,64.5664,53.7372,42.1135,36.1966,61.831,38.4705,64.5603,53.3073,41.5502,33.9938,62.956,37.308,64.4505,52.9603,40.5844,28.0627,67.2686,33.9547,65.1878,52.9205,37.5095,22.6709,69.9781,29.7279,65.7555,53.0585,33.017
H-grid: TF-IDF-F Prec×3 Ratio×2 Fact×1 Arg×0,42.4007,8,54.6617,77.5151,50.062,49.9145,48.2956,40.6979,65.4077,57.066,40.2481,46.2251,51.7046,40.6416,64.8896,55.6959,41.3771,43.4676,55.3364,40.6982,64.9543,55.0147,42.2301,40.7585,57.8753,40.0494,64.7192,54.2498,42.3066,38.4615,59.5169,39.2695,64.3797,53.5659,42.1655,36.2821,61.6635,38.5191,64.429,53.1175,41.6483,34.3046,63.2683,37.6358,64.5175,52.8776,40.9555,28.0342,67.1578,33.9215,65.0268,52.6926,37.4714,22.6709,69.9465,29.6822,65.6045,52.8414,33.017
H-grid: TF-IDF-F Prec×5 Ratio×1 Fact×1 Arg×1,42.318,7,54.7886,77.2659,51.4211,49.9145,47.7609,40.5728,65.2026,56.9487,40.2481,46.3675,50.9796,40.5249,64.6841,55.787,41.5046,43.4676,53.782,40.3571,64.4466,55.0092,42.2301,40.3312,55.812,39.4795,63.8364,53.7325,41.863,37.9392,58.152,38.8099,63.622,52.9661,41.5929,35.9829,60.4875,38.2673,63.8241,52.7538,41.3049,34.0715,62.1214,37.3712,63.9416,52.5128,40.6772,27.9202,66.0641,33.7024,64.4847,52.4511,37.3191,23.0128,70.203,30.1219,65.607,52.9164,33.5149
H-grid: TF-IDF-F Prec×3 Ratio×1 Fact×0 Arg×1,42.234,8,53.81,76.3432,51.0251,50.0,46.6301,40.2943,64.666,56.8521,40.317,46.3675,50.1056,40.3435,64.1236,55.429,41.5046,43.0403,52.9848,39.9919,63.683,54.3399,41.8149,40.5983,55.8644,39.7433,63.6327,53.6327,42.1403,37.9392,57.4067,38.725,63.1029,52.6234,41.5929,35.8547,59.2747,37.9462,63.0976,52.2393,41.1577,33.7995,60.3635,36.912,63.0005,51.8996,40.3525,27.7778,65.998,33.6084,63.9936,51.8297,37.1287,22.5855,69.2403,29.6532,64.7817,52.0777,32.8925
H-grid: TF-IDF-F Prec×2 Ratio×1 Fact×0 Arg×1,42.1784,8,54.2144,76.5974,50.6016,50.3419,47.247,40.6499,65.1737,57.3608,40.5927,46.7236,50.5765,40.6636,64.6234,56.021,41.8234,43.1624,53.1084,40.0318,63.9958,54.7469,41.9336,40.5449,55.7152,39.6652,63.755,53.8766,42.0848,38.0817,57.5673,38.879,63.3905,52.9735,41.7491,36.1966,59.7776,38.3439,63.5498,52.6751,41.5502,34.1492,61.0175,37.3505,63.4978,52.3663,40.7699,27.9202,66.2828,33.7868,64.335,52.1818,37.3191,22.8632,70.2039,30.0116,65.3599,52.6075,33.297
H-grid: TF-IDF-F Prec×2 Ratio×1 Fact×1 Arg×0,42.1784,8,54.3663,76.6386,50.5977,49.2308,47.6435,40.0417,64.7408,56.4063,39.6968,45.8689,50.9216,40.0683,64.3568,55.2819,41.0583,42.9792,54.1585,40.0689,64.1812,54.4319,41.7556,40.5449,56.9481,39.7996,64.1212,53.8493,42.0848,38.0817,58.8701,38.9402,63.7881,53.0125,41.7491,36.0256,61.1236,38.1972,63.9089,52.6188,41.3539,33.7607,62.1667,36.9543,63.7387,52.2272,40.3061,27.9772,66.9043,33.8284,64.6631,52.3794,37.3953,22.6282,69.9256,29.6379,65.3029,52.4947,32.9547
H-grid: TF-IDF-F Prec×5 Ratio×3 Fact×0 Arg×1,42.1397,7,53.685,77.0336,50.0391,49.5726,46.3457,39.9834,64.4465,56.5172,39.9724,46.1538,49.7563,40.1474,63.974,55.102,41.3134,43.2845,52.5696,39.9874,63.7273,54.3149,42.0522,40.3846,55.0663,39.4474,63.3204,53.2462,41.9185,37.9867,56.8248,38.6825,62.9475,52.4123,41.645,36.1538,59.3023,38.2652,63.1998,52.1535,41.5011,34.2657,61.3913,37.4937,63.4357,51.9663,40.9091,28.0342,66.3206,33.8609,64.1923,51.8093,37.4714,22.7991,70.1687,29.9631,65.1304,52.1048,33.2037
H-grid: TF-IDF-F Prec×5 Ratio×3 Fact×1 Arg×0,42.1397,7,54.317,77.4732,50.454,49.6581,48.2902,40.5514,65.2492,56.8101,40.0414,46.2251,51.6329,40.6271,64.8073,55.5482,41.3771,43.2845,55.0144,40.5034,64.7154,54.7292,42.0522,40.438,57.4787,39.7306,64.3998,53.8659,41.9739,38.1292,59.3327,39.0077,64.103,53.2036,41.8011,35.8974,60.8426,38.0944,63.9596,52.7067,41.2068,33.9549,62.2943,37.2296,64.0016,52.4247,40.538,27.8917,67.2952,33.7418,64.8562,52.3267,37.281,22.7778,70.3073,29.8245,65.6211,52.6567,33.1726
H-grid: TF-IDF-F Prec×5 Ratio×2 Fact×0 Arg×1,41.9561,8,53.5346,76.1199,49.9156,49.7436,46.5635,40.1615,64.396,56.5471,40.1103,46.2251,49.7899,40.2123,63.8433,55.1772,41.3771,43.0403,52.8245,39.98,63.4921,54.0242,41.8149,40.3312,54.9929,39.383,63.1278,53.1814,41.863,37.7018,56.5994,38.4037,62.622,52.209,41.3326,35.7692,58.9705,37.8982,62.7981,51.8854,41.0596,33.8772,60.3608,37.0272,62.8546,51.6396,40.4453,27.6923,65.3223,33.4622,63.6242,51.4813,37.0145,22.7991,70.163,29.9433,64.9184,51.9697,33.2037
H-grid: TF-IDF-F Prec×5 Ratio×2 Fact×1 Arg×0,41.9005,8,53.5206,76.1552,49.651,49.2308,47.5217,40.0543,64.2293,55.7612,39.6968,45.9402,51.217,40.2805,63.9405,54.6251,41.1221,42.735,53.9946,39.8566,63.5597,53.6731,41.5184,40.2778,56.7039,39.4633,63.4535,52.9263,41.8076,37.7968,58.5092,38.5544,63.0626,52.1603,41.4368,35.8547,60.6214,38.0229,63.1889,51.889,41.1577,33.7995,61.7151,36.978,63.1044,51.5217,40.3525,27.7778,66.4923,33.5494,63.9113,51.4906,37.1287,22.7991,70.2946,29.8594,64.9016,51.8393,33.2037
H-grid: TF-IDF-F Prec×3 Ratio×1 Fact×1 Arg×0,41.7236,7,53.3758,75.5248,49.7911,48.7179,47.3421,39.6737,63.7613,55.2463,39.2833,45.7265,50.9607,40.0563,63.602,54.2815,40.9308,42.8571,54.0792,39.9758,63.4523,53.4891,41.637,39.9038,55.7986,39.0282,62.8745,52.4424,41.4195,37.7018,58.2655,38.5356,62.7805,51.8458,41.3326,35.6838,60.3465,37.8453,62.8671,51.5298,40.9615,33.5664,61.4459,36.7603,62.7539,51.1471,40.0742,27.6353,66.1676,33.3987,63.5956,51.2198,36.9383,22.6923,69.5908,29.6791,64.5041,51.5712,33.0481
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=2  scheme=log,41.5671,8,54.2611,77.862,50.3606,49.4872,48.4303,40.5382,65.3135,56.6841,39.9035,45.7265,51.3748,40.2342,64.6817,55.3581,40.9308,42.0635,53.8964,39.4085,64.0611,54.1143,40.866,39.9573,56.9992,39.4231,64.1978,53.7132,41.4749,37.1795,58.5049,38.2875,63.6184,52.7064,40.76,34.9573,60.322,37.4459,63.5535,52.1139,40.1275,33.1002,61.7132,36.5734,63.6341,51.9169,39.5176,27.265,66.4757,33.2358,64.5169,52.0375,36.4433,22.1795,70.0131,29.3132,65.4051,52.3198,32.3012
H-grid: TF-IDF-F Prec×5 Ratio×1 Fact×0 Arg×1,41.456,8,52.0681,75.8329,48.7148,48.6325,45.5616,39.2,63.0121,54.9446,39.2143,45.3704,49.0023,39.4122,62.6403,53.5799,40.612,42.5519,52.0377,39.3974,62.4415,52.7593,41.3405,39.8504,54.0874,38.736,62.0394,51.8494,41.364,37.132,55.7037,37.778,61.4618,50.7032,40.708,35.0855,57.9684,37.1137,61.5622,50.3353,40.2747,33.2945,59.4774,36.3958,61.6694,50.206,39.7495,27.1795,64.2093,32.8365,62.3513,49.9603,36.329,22.3718,68.5043,29.3629,63.5162,50.3761,32.5813
H7: TF-IDF-F Prec×1 + Ratio×1 only (2 roles),41.1293,7,51.008,75.5809,47.5669,48.0342,44.4033,38.6599,62.1184,53.9149,38.7319,45.0142,48.3778,39.1043,62.0178,52.8814,40.2933,42.2466,51.8091,39.1094,61.9794,52.0895,41.0439,39.4231,54.0572,38.5101,61.5435,51.1279,40.9204,36.8471,55.4026,37.4908,60.9743,50.1328,40.3956,34.9145,57.7692,36.9316,61.1454,49.7487,40.0785,32.8283,58.8721,35.877,61.0071,49.3387,39.1929,26.8661,63.3718,32.3832,61.6584,49.1502,35.9101,21.9017,66.6061,28.641,62.4478,49.4064,31.8967
H-grid: TF-IDF-F Prec×5 Ratio×1 Fact×1 Arg×0,40.9003,8,52.1951,74.7273,48.6464,47.7778,45.6077,38.7488,62.3313,53.9447,38.5252,44.6581,49.2895,39.0199,62.0977,52.8215,39.9745,41.8193,52.5702,38.9564,61.9661,51.9989,40.6287,39.3162,55.5282,38.5429,61.8752,51.2423,40.8095,36.8946,57.2226,37.6789,61.4967,50.4657,40.4477,35.2137,59.6337,37.35,61.8228,50.3784,40.4219,33.2945,60.7703,36.3859,61.7944,50.1298,39.7495,27.2934,65.0642,32.9443,62.4138,49.9553,36.4813,22.4359,69.2223,29.4111,63.4887,50.335,32.6747
I-grid: Fusion Prec×1 Ratio×2 Fact×1 Arg×1,39.6777,8,50.078,75.5385,46.5119,46.7521,44.9586,38.0509,61.3612,52.3678,37.6981,43.2336,48.3661,38.0637,60.8509,50.9475,38.6994,40.293,51.4442,37.6297,60.676,49.9802,39.1459,38.141,53.9072,37.3253,60.6248,49.432,39.5897,35.0902,54.8629,35.8911,59.7334,48.1638,38.4695,32.9915,56.3135,35.061,59.5734,47.6882,37.871,31.0023,57.2161,33.994,59.4162,47.2889,37.013,25.9259,62.9033,31.4111,60.6665,47.593,34.6535,21.2393,66.8875,27.9436,61.6853,47.9019,30.932
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=4,39.6777,8,50.078,75.5385,46.5119,46.7521,44.9586,38.0509,61.3612,52.3678,37.6981,43.2336,48.3661,38.0637,60.8509,50.9475,38.6994,40.293,51.4442,37.6297,60.676,49.9802,39.1459,38.141,53.9072,37.3253,60.6248,49.432,39.5897,35.0902,54.8629,35.8911,59.7334,48.1638,38.4695,32.9915,56.3135,35.061,59.5734,47.6882,37.871,31.0023,57.2161,33.994,59.4162,47.2889,37.013,25.9259,62.9033,31.4111,60.6665,47.593,34.6535,21.2393,66.8875,27.9436,61.6853,47.9019,30.932
I-grid: Fusion Prec×1 Ratio×3 Fact×1 Arg×1,39.511,8,50.1678,75.8137,47.2183,46.3248,44.3893,37.5603,61.0999,52.2948,37.3535,43.3761,48.6827,38.0903,61.0752,51.1119,38.8269,40.3541,51.3604,37.6277,60.7448,50.0853,39.2052,37.9808,53.5813,37.1746,60.5009,49.2817,39.4233,35.4226,55.135,36.2306,59.9802,48.3595,38.8339,33.3761,56.5988,35.4195,59.8565,47.9746,38.3125,31.5074,58.1598,34.6159,59.9225,47.691,37.616,26.0969,62.5933,31.53,60.7413,47.7893,34.8819,21.3462,66.9509,28.102,61.8504,48.0496,31.0876
I-grid: Fusion Prec×1 Ratio×2 Fact×1 Arg×0,39.4651,7,49.626,75.0699,46.9348,46.4957,44.3489,37.7117,60.9925,52.0377,37.4914,43.3761,47.7194,37.9227,60.6622,50.8656,38.8269,40.5372,49.9281,37.4261,60.2919,50.0418,39.3832,37.5534,51.7668,36.5111,59.6475,48.7284,38.9798,35.0902,53.4792,35.6741,59.1891,47.8805,38.4695,33.2051,55.7649,35.1608,59.3236,47.6022,38.1163,31.3908,57.3043,34.3204,59.3935,47.3344,37.4768,25.755,61.8223,31.1006,60.0836,47.2236,34.425,21.2179,66.5906,27.8766,61.3513,47.592,30.9009
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=5,39.4554,8,49.9156,75.0599,46.5019,46.8376,45.0084,38.0787,61.2684,52.3149,37.7671,43.1624,47.8817,37.8326,60.5311,50.7124,38.6356,40.3541,51.0082,37.6115,60.4057,49.8157,39.2052,37.9274,53.358,37.0725,60.1851,49.0373,39.3679,35.0902,54.8205,35.9165,59.5235,47.9054,38.4695,33.2051,56.3012,35.2046,59.4764,47.6075,38.1163,31.1189,57.5405,34.1715,59.3596,47.1559,37.1521,26.0114,62.9087,31.4971,60.5462,47.4632,34.7677,21.2821,66.6527,27.997,61.5006,47.7082,30.9942
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=8,39.3462,7,49.4438,74.7882,46.6692,47.3504,45.3181,38.4252,61.3795,52.4161,38.1806,43.7322,48.1816,38.1991,60.6932,50.7974,39.1457,40.4151,51.5309,37.641,60.3932,49.6219,39.2645,37.2863,52.9955,36.5136,59.6085,48.2681,38.7025,34.8053,54.5541,35.6063,59.1198,47.4055,38.1572,32.7778,56.1656,34.8333,59.0292,46.9985,37.6257,31.1966,58.0432,34.189,59.2992,46.9248,37.2449,25.8405,62.4959,31.2577,60.1151,46.954,34.5392,21.2179,65.8818,27.8183,61.0296,47.2342,30.9009
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=7,39.2868,7,49.4997,74.5674,46.5776,46.9231,44.9706,38.061,61.0605,52.13,37.836,43.7322,48.1899,38.2067,60.654,50.7637,39.1457,40.3541,50.7599,37.5014,60.1174,49.5142,39.2052,37.4466,52.9329,36.6808,59.6148,48.3262,38.8689,34.9478,54.8066,35.7914,59.2063,47.5186,38.3134,32.735,56.0379,34.7781,58.9424,46.9869,37.5766,31.08,58.0497,34.0925,59.225,46.8709,37.1058,25.9259,62.6109,31.3451,60.1702,47.0385,34.6535,21.2393,65.9747,27.8686,61.055,47.2853,30.932
I-grid: Fusion Prec×2 Ratio×3 Fact×1 Arg×1,39.2382,9,49.5779,75.2557,47.0253,46.4103,44.5367,37.6746,60.8599,51.7817,37.4225,43.2336,48.1374,37.9427,60.543,50.6276,38.6994,40.293,50.7947,37.4857,60.2274,49.6339,39.1459,37.7137,53.0145,36.9017,59.89,48.7269,39.1461,35.7075,55.4822,36.4946,59.8495,48.1696,39.1463,33.3761,56.9651,35.5238,59.6187,47.544,38.3125,31.6239,58.2645,34.71,59.6835,47.3142,37.7551,26.0684,62.8639,31.5256,60.4475,47.2608,34.8439,21.3462,66.9737,28.1103,61.5275,47.5958,31.0876
I-grid: Fusion Prec×2 Ratio×3 Fact×1 Arg×0,39.2331,8,49.1044,74.6329,47.1438,46.5812,44.4725,37.8093,60.7438,51.6452,37.5603,43.0199,47.4963,37.6455,60.1178,50.2031,38.5081,40.0488,49.8387,37.1276,59.7045,49.2075,38.9087,37.7137,52.425,36.7394,59.5702,48.5079,39.1461,35.5176,54.3265,36.1209,59.3039,47.7789,38.9381,33.2906,55.9704,35.2353,59.1227,47.1993,38.2144,31.5851,57.6662,34.5687,59.2945,47.0942,37.7087,25.7265,61.6151,31.0607,59.7487,46.8152,34.3869,21.2393,66.3322,27.9434,61.0614,47.246,30.932
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=6,39.2273,7,49.7336,75.111,46.6152,46.8376,44.9398,38.0171,61.2251,52.2895,37.7671,43.4473,48.0189,37.9959,60.6765,50.8622,38.8907,40.293,50.8443,37.5125,60.2968,49.6901,39.1459,37.3932,52.7432,36.5709,59.7349,48.506,38.8134,35.0427,54.4865,35.8242,59.3484,47.7486,38.4175,33.0769,56.7553,35.1488,59.4724,47.4493,37.9691,31.1189,58.1373,34.1804,59.435,47.0485,37.1521,25.8689,62.4167,31.2821,60.2754,47.197,34.5773,21.2821,66.2193,27.9579,61.3213,47.5321,30.9942
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=9,39.2207,6,49.5398,75.0576,47.0485,46.8376,44.8579,37.9948,61.1747,52.2411,37.7671,43.7322,48.7324,38.3177,60.9858,50.9448,39.1457,40.232,51.3895,37.5047,60.4029,49.5992,39.0866,37.1261,52.9006,36.3951,59.6398,48.2816,38.5362,34.6154,54.4239,35.4234,59.1309,47.4021,37.949,32.8205,56.1643,34.8418,59.1767,47.1531,37.6748,31.1966,58.0146,34.1712,59.4152,47.0434,37.2449,25.8689,62.5383,31.2829,60.2521,47.0684,34.5773,21.2179,65.7335,27.8164,61.1136,47.3606,30.9009
